test_file,test,base_time_min,base_time_mean,base_time_max,dynamo_time_min,dynamo_time_mean,dynamo_time_max,ratio
test_sort.py,TestBase.test_small_stability,0.154,0.1555,0.157,269.543,273.5145,278.111,1758.935691318328
test_itertools.py,TestBasicOps.test_ziplongest,0.119,0.1225,0.131,43.366,44.25875,44.798,361.2959183673469
test_itertools.py,TestVariousIteratorArgs.test_zip,0.119,0.121,0.124,12.828,13.0505,13.312,107.85537190082644
test_itertools.py,TestVariousIteratorArgs.test_chain,0.118,0.121,0.123,9.379,9.477,9.587,78.32231404958678
test_set.py,TestVariousIteratorArgs.test_constructor,0.122,0.1235,0.125,7.776,7.83225,7.924,63.41902834008097
test_itertools.py,TestVariousIteratorArgs.test_cycle,0.118,0.11925,0.121,6.502,6.7372499999999995,7.15,56.496855345911946
test_itertools.py,TestVariousIteratorArgs.test_tee,0.121,0.12175,0.123,5.761,5.84825,5.968,48.034907597535934
test_itertools.py,TestVariousIteratorArgs.test_filterfalse,0.119,0.12,0.121,5.389,5.5695,5.702,46.4125
test_itertools.py,TestVariousIteratorArgs.test_compress,0.117,0.118,0.119,3.253,3.31525,3.367,28.095338983050848
test_set.py,TestFrozenSetSubclass.test_isdisjoint,0.121,0.12225,0.123,2.051,2.0815,2.127,17.026584867075666
test_set.py,TestFrozenSet.test_isdisjoint,0.119,0.12075,0.122,1.947,1.9849999999999999,2.018,16.438923395445133
test_set.py,TestSetSubclass.test_isdisjoint,0.117,0.11875,0.12,1.729,1.774,1.903,14.938947368421054
test_itertools.py,TestBasicOps.test_permutations,0.116,0.11925,0.122,1.51,1.5547499999999999,1.583,13.037735849056602
test_set.py,TestSet.test_isdisjoint,0.121,0.122,0.123,1.44,1.4675,1.491,12.028688524590164
test_itertools.py,TestBasicOps.test_product,0.129,0.13325,0.139,1.507,1.538,1.574,11.542213883677299
test_iter.py,TestCase.test_iter_big_range,0.116,0.1185,0.122,1.299,1.32825,1.388,11.208860759493671
test_set.py,TestGraphs.test_cube,0.115,0.116,0.117,0.848,0.85975,0.885,7.411637931034482
test_float.py,GeneralFloatCases.test_float_pow,0.118,0.11975,0.123,0.857,0.8734999999999999,0.891,7.294363256784968
test_userlist.py,UserListTest.test_getslice,0.119,0.11975,0.12,0.812,0.82125,0.831,6.8580375782881005
test_set.py,TestSetSubclass.test_difference_update,0.118,0.12,0.122,0.799,0.8140000000000001,0.828,6.783333333333334
test_complex.py,ComplexTest.test_pow_with_small_integer_exponents,0.119,0.12025,0.121,0.787,0.7917500000000001,0.798,6.584199584199585
test_set.py,TestSet.test_update,0.117,0.12,0.122,0.701,0.71175,0.72,5.93125
test_int.py,IntTestCases.test_basic,0.12,0.12175,0.123,0.706,0.72025,0.739,5.915811088295688
test_set.py,TestSet.test_difference_update,0.119,0.121,0.122,0.702,0.7132499999999999,0.727,5.894628099173554
test_set.py,TestSetSubclass.test_update,0.116,0.1195,0.122,0.682,0.702,0.714,5.874476987447698
test_set.py,TestFrozenSetSubclass.test_union,0.116,0.118,0.12,0.676,0.6805000000000001,0.686,5.766949152542374
test_complex.py,ComplexTest.test_pow,0.115,0.1175,0.121,0.669,0.673,0.684,5.727659574468086
test_userlist.py,UserListTest.test_addmul,0.12,0.12075,0.121,0.681,0.689,0.693,5.7060041407867494
test_list.py,ListTest.test_setslice,0.117,0.1175,0.118,0.663,0.667,0.673,5.676595744680852
test_set.py,TestFrozenSet.test_union,0.117,0.12,0.122,0.664,0.67225,0.683,5.602083333333334
test_set.py,TestFrozenSet.test_difference,0.117,0.11875,0.122,0.642,0.664,0.678,5.591578947368421
test_set.py,TestFrozenSetSubclass.test_difference,0.118,0.119,0.121,0.644,0.661,0.667,5.5546218487394965
test_set.py,TestSetSubclass.test_intersection_update,0.116,0.119,0.124,0.626,0.63,0.633,5.294117647058823
test_complex.py,ComplexTest.test_abs,0.114,0.11575,0.118,0.602,0.61225,0.621,5.2894168466522675
test_float.py,HexFloatTestCase.test_whitespace,0.115,0.11525,0.116,0.583,0.589,0.595,5.110629067245119
test_list.py,ListTest.test_repr_large,0.156,0.15975,0.162,0.804,0.81325,0.832,5.090766823161189
test_set.py,TestSet.test_intersection_update,0.116,0.11875,0.121,0.583,0.594,0.605,5.002105263157895
test_list.py,ListTest.test_tier2_invalidates_iterator,0.119,0.12075,0.123,0.593,0.60175,0.611,4.983436853002071
test_set.py,TestFrozenSetSubclass.test_symmetric_difference,0.114,0.1185,0.122,0.561,0.5740000000000001,0.592,4.843881856540085
test_tuple.py,TupleTest.test_repr_large,0.161,0.16475,0.171,0.781,0.7877500000000001,0.806,4.781487101669196
test_generators.py,ExceptionTest.test_nested_gen_except_loop,0.117,0.11925,0.121,0.559,0.569,0.582,4.771488469601677
test_list.py,ListTest.test_count,0.119,0.1215,0.124,0.574,0.57775,0.58,4.755144032921811
test_set.py,TestFrozenSet.test_symmetric_difference,0.116,0.119,0.121,0.552,0.5635,0.576,4.735294117647059
test_set.py,TestSetSubclass.test_difference,0.116,0.11825,0.122,0.549,0.5555,0.568,4.6976744186046515
test_float.py,HexFloatTestCase.test_from_hex,0.114,0.1155,0.116,0.532,0.538,0.548,4.658008658008658
test_set.py,TestSetSubclass.test_union,0.12,0.12075,0.122,0.556,0.56225,0.568,4.656314699792961
test_contextlib.py,TestAbstractContextManager.test_structural_subclassing,0.117,0.1185,0.121,0.545,0.5507500000000001,0.567,4.647679324894516
test_tuple.py,TupleTest.test_count,0.121,0.1215,0.123,0.561,0.564,0.566,4.641975308641975
test_range.py,RangeTest.test_slice,0.116,0.11825,0.119,0.538,0.54325,0.554,4.5940803382663855
test_list.py,ListTest.test_addmul,0.116,0.119,0.124,0.539,0.5465,0.552,4.592436974789916
test_dict.py,DictTest.test_reentrant_insertion,0.116,0.12125,0.125,0.55,0.55625,0.564,4.587628865979382
test_tuple.py,TupleTest.test_addmul,0.117,0.119,0.122,0.528,0.5357500000000001,0.541,4.502100840336135
test_set.py,TestSetSubclass.test_symmetric_difference,0.119,0.11975,0.121,0.527,0.53725,0.544,4.486430062630481
test_set.py,TestSet.test_difference,0.117,0.1195,0.122,0.528,0.53425,0.539,4.47071129707113
test_set.py,TestSet.test_union,0.12,0.12075,0.121,0.527,0.5337500000000001,0.537,4.420289855072465
test_math.py,MathTests.testPow,0.119,0.1195,0.121,0.526,0.5275000000000001,0.529,4.414225941422595
test_itertools.py,TestBasicOps.test_filterfalse,0.116,0.117,0.118,0.51,0.514,0.517,4.393162393162393
test_heapq.py,TestErrorHandlingPython.test_heappush_mutating_heap,0.117,0.118,0.119,0.512,0.516,0.52,4.372881355932204
test_with.py,AssignmentTargetTestCase.testSingleComplexTarget,0.117,0.11925,0.12,0.517,0.521,0.524,4.368972746331237
test_heapq.py,TestErrorHandlingPython.test_heappop_mutating_heap,0.117,0.11775000000000001,0.12,0.504,0.51425,0.524,4.367303609341826
test_set.py,TestSetSubclass.test_symmetric_difference_update,0.119,0.12025,0.121,0.516,0.52125,0.526,4.334719334719335
test_with.py,AssignmentTargetTestCase.testMultipleComplexTargets,0.121,0.1215,0.122,0.521,0.5265,0.533,4.333333333333333
test_list.py,ListTest.test_count_index_remove_crashes,0.117,0.11925,0.121,0.512,0.51625,0.522,4.329140461215933
test_set.py,TestSet.test_symmetric_difference,0.119,0.1195,0.121,0.507,0.51025,0.517,4.2698744769874475
test_collections.py,TestChainMap.test_new_child,0.119,0.12025,0.122,0.505,0.51,0.515,4.241164241164241
test_set.py,TestSet.test_symmetric_difference_update,0.118,0.11925,0.122,0.5,0.5025,0.505,4.213836477987421
test_float.py,ReprTestCase.test_short_repr,0.116,0.118,0.12,0.484,0.4925,0.502,4.173728813559322
test_collections.py,TestCollectionABCs.test_MutableSequence_mixins,0.116,0.1185,0.12,0.477,0.48975,0.498,4.132911392405064
test_set.py,TestFrozenSetSubclass.test_contains,0.115,0.11675,0.119,0.473,0.47875,0.493,4.100642398286937
test_set.py,TestSetSubclass.test_contains,0.119,0.12,0.121,0.48,0.48275,0.486,4.022916666666667
test_complex.py,ComplexTest.test_constructor_from_string,0.114,0.11775,0.119,0.468,0.472,0.477,4.008492569002123
test_bool.py,BoolTest.test_interpreter_convert_to_bool_raises,0.115,0.118,0.121,0.463,0.47275,0.479,4.00635593220339
test_collections.py,TestCollectionABCs.test_equality_Set,0.114,0.11575,0.117,0.46,0.4635,0.466,4.004319654427646
test_dict.py,DictTest.test_popitem,0.116,0.11925,0.121,0.473,0.47724999999999995,0.487,4.0020964360587
test_collections.py,TestChainMap.test_missing,0.119,0.11975,0.121,0.467,0.479,0.486,4.0
test_ordered_dict.py,CPythonOrderedDictTests.test_merge_operator,0.121,0.122,0.123,0.485,0.4865,0.488,3.987704918032787
test_collections.py,TestCollectionABCs.test_issue26915,0.118,0.11975,0.121,0.461,0.47475,0.482,3.9645093945720253
test_set.py,TestSet.test_contains,0.12,0.12075,0.122,0.468,0.473,0.481,3.917184265010352
test_math.py,MathTests.testLdexp,0.12,0.12125,0.123,0.469,0.47224999999999995,0.475,3.8948453608247418
test_math.py,MathTests.test_nextafter,0.116,0.1175,0.12,0.454,0.4565,0.46,3.885106382978724
test_set.py,TestFrozenSet.test_contains,0.117,0.11925,0.121,0.462,0.463,0.465,3.8825995807127884
test_userdict.py,UserDictTest.test_read,0.116,0.119,0.122,0.451,0.46175,0.475,3.880252100840336
test_contextlib.py,TestContextDecorator.test_contextdecorator_as_mixin,0.117,0.11825,0.12,0.456,0.45825000000000005,0.461,3.8752642706131084
test_ordered_dict.py,CPythonOrderedDictSubclassTests.test_override_update,0.117,0.11725000000000001,0.118,0.44,0.4465,0.451,3.808102345415778
test_set.py,TestWeirdBugs.test_iter_and_mutate,0.117,0.11875,0.121,0.436,0.45025,0.49,3.791578947368421
test_collections.py,TestCollectionABCs.test_arithmetic_Set,0.115,0.1155,0.116,0.429,0.435,0.447,3.766233766233766
test_ordered_dict.py,CPythonBuiltinDictTests.test_override_update,0.115,0.1165,0.12,0.432,0.4375,0.447,3.7553648068669525
test_operator.py,PyOperatorTestCase.test_ne,0.113,0.11725,0.119,0.434,0.43975,0.448,3.7505330490405115
test_operator.py,PyOperatorTestCase.test_eq,0.116,0.11775,0.12,0.435,0.44125000000000003,0.457,3.747346072186837
test_dict.py,DictTest.test_splittable_del,0.115,0.11775,0.121,0.436,0.4405,0.444,3.740976645435244
test_userlist.py,UserListTest.test_extendedslicing,0.12,0.12025,0.121,0.448,0.4495,0.451,3.7380457380457384
test_dict.py,DictTest.test_splittable_pop,0.117,0.11775000000000001,0.12,0.437,0.43975,0.444,3.734607218683651
test_collections.py,TestNamedTuple.test_namedtuple_subclass_issue_24931,0.115,0.11750000000000001,0.121,0.437,0.43775,0.438,3.7255319148936166
test_ordered_dict.py,CPythonOrderedDictTests.test_override_update,0.12,0.121,0.122,0.446,0.4505,0.456,3.723140495867769
test_list.py,ListTest.test_list_index_modifing_operand,0.117,0.11875,0.121,0.439,0.44175,0.448,3.7199999999999998
test_sys.py,SysModuleTest.test_module_names,0.119,0.12025,0.122,0.442,0.44725000000000004,0.451,3.7193347193347197
test_with.py,FailureTestCase.testExitThrows,0.115,0.1175,0.119,0.429,0.437,0.445,3.719148936170213
test_dict.py,DictTest.test_splittable_setdefault,0.117,0.11825,0.119,0.427,0.43875,0.449,3.7103594080338267
test_collections.py,TestUserObjects.test_dict_missing,0.116,0.1165,0.117,0.421,0.432,0.44,3.708154506437768
test_collections.py,TestCollectionABCs.test_issue_4920,0.116,0.11925,0.121,0.435,0.44125000000000003,0.446,3.7002096436058705
test_iter.py,TestCase.test_exception_sequence,0.119,0.12025,0.122,0.44,0.44475,0.447,3.6985446985446986
test_with.py,FailureTestCase.testEnterThrows,0.116,0.119,0.122,0.427,0.4395,0.451,3.69327731092437
test_itertools.py,TestVariousIteratorArgs.test_accumulate,0.118,0.1195,0.121,0.436,0.44125000000000003,0.447,3.6924686192468625
test_collections.py,TestChainMap.test_iter_not_calling_getitem_on_maps,0.118,0.1195,0.12,0.435,0.441,0.446,3.690376569037657
test_list.py,ListTest.test_getslice,0.119,0.12075,0.122,0.44,0.4455,0.452,3.68944099378882
test_sort.py,TestDecorateSortUndecorate.test_key_with_mutating_del_and_exception,0.118,0.12025,0.123,0.432,0.4435,0.451,3.6881496881496885
