test_file,test,base_time_min,base_time_mean,base_time_max,dynamo_time_min,dynamo_time_mean,dynamo_time_max,ratio
test_sort.py,TestBase.test_small_stability,0.918,0.9410000000000001,0.992,411.826,422.80625,450.262,449.3158873538788
test_cmath.py,CMathTests.test_abs,0.001,0.001,0.001,0.426,0.4445,0.462,444.5
test_cmath.py,CMathTests.test_infinity_and_nan_constants,0.001,0.001,0.001,0.384,0.40175,0.421,401.75
test_cmath.py,CMathTests.test_abs_overflows,0.001,0.001,0.001,0.337,0.35575,0.39,355.75
test_cmath.py,CMathTests.test_constants,0.001,0.001,0.001,0.319,0.33399999999999996,0.354,333.99999999999994
test_math.py,MathTests.test_ulp,0.001,0.001,0.001,0.225,0.231,0.233,231.0
test_sys.py,SysModuleTest.test_racing_recursion_limit,0.001,0.001,0.001,0.223,0.228,0.241,228.0
test_sys.py,SysModuleTest.test_getandroidapilevel,0.001,0.001,0.001,0.222,0.22725,0.234,227.25
test_exceptions.py,ExceptionTests.test_windows_message,0.001,0.001,0.001,0.222,0.22525,0.231,225.25
test_sys.py,SysModuleTest.test_emscripten_info,0.001,0.001,0.001,0.222,0.2235,0.226,223.5
test_sys.py,SysModuleTest.test_pystats,0.001,0.001,0.001,0.222,0.2235,0.225,223.5
test_sys.py,SysModuleTest.test_getobjects,0.001,0.001,0.001,0.221,0.22325,0.225,223.25
test_sys.py,SysModuleTest.test__enablelegacywindowsfsencoding,0.001,0.001,0.001,0.221,0.22325,0.226,223.25
test_sys.py,SysModuleTest.test_ioencoding_nonascii,0.001,0.001,0.001,0.22,0.22225,0.223,222.25
test_itertools.py,TestBasicOps.test_ziplongest,0.915,0.9195,0.929,64.328,66.7645,70.369,72.60957041870581
test_itertools.py,TestVariousIteratorArgs.test_zip,0.912,0.918,0.934,20.52,20.55225,20.591,22.388071895424837
test_itertools.py,TestVariousIteratorArgs.test_chain,0.866,0.90275,0.915,14.536,14.783,15.277,16.37551924674605
test_set.py,TestVariousIteratorArgs.test_constructor,0.873,0.87975,0.895,12.448,12.47475,12.531,14.179880647911338
test_itertools.py,TestVariousIteratorArgs.test_cycle,0.903,0.9117500000000001,0.931,10.233,10.373750000000001,10.579,11.37784480394845
test_itertools.py,TestVariousIteratorArgs.test_tee,0.917,0.92925,0.945,9.5,9.6335,9.85,10.36696260425074
test_itertools.py,TestVariousIteratorArgs.test_filterfalse,0.902,0.9097500000000001,0.922,9.028,9.174,9.444,10.084089035449297
