test_file,test,base_time_min,base_time_mean,base_time_max,dynamo_time_min,dynamo_time_mean,dynamo_time_max,ratio
test_sort.py,TestBase.test_small_stability,0.15,0.154,0.156,260.552,264.04975,267.689,1714.6087662337663
test_itertools.py,TestBasicOps.test_ziplongest,0.119,0.1205,0.123,43.687,45.506,46.74,377.643153526971
test_itertools.py,TestVariousIteratorArgs.test_zip,0.12,0.12225,0.123,13.064,13.10925,13.183,107.23312883435582
test_itertools.py,TestVariousIteratorArgs.test_chain,0.118,0.12125,0.123,9.165,9.41975,9.939,77.68865979381444
test_set.py,TestVariousIteratorArgs.test_constructor,0.12,0.1235,0.126,7.733,8.082,8.362,65.4412955465587
test_itertools.py,TestVariousIteratorArgs.test_cycle,0.12,0.121,0.122,6.275,6.3675,6.426,52.62396694214876
test_itertools.py,TestVariousIteratorArgs.test_tee,0.12,0.12125,0.123,5.717,5.9334999999999996,6.034,48.9360824742268
test_itertools.py,TestVariousIteratorArgs.test_filterfalse,0.12,0.121,0.122,5.443,5.605499999999999,5.858,46.32644628099173
test_itertools.py,TestVariousIteratorArgs.test_compress,0.12,0.12025,0.121,3.281,3.38875,3.49,28.18087318087318
test_set.py,TestFrozenSetSubclass.test_isdisjoint,0.117,0.11925,0.122,1.996,2.033,2.082,17.048218029350103
test_set.py,TestFrozenSet.test_isdisjoint,0.12,0.12125,0.123,1.95,1.979,2.035,16.321649484536085
test_set.py,TestSetSubclass.test_isdisjoint,0.12,0.1205,0.121,1.625,1.67875,1.74,13.931535269709544
test_itertools.py,TestBasicOps.test_permutations,0.119,0.1195,0.12,1.498,1.5545,1.597,13.00836820083682
test_set.py,TestSet.test_isdisjoint,0.12,0.12075,0.121,1.427,1.46075,1.475,12.097308488612837
test_itertools.py,TestBasicOps.test_product,0.133,0.1335,0.135,1.477,1.5175,1.546,11.367041198501873
test_iter.py,TestCase.test_iter_big_range,0.12,0.1215,0.124,1.292,1.319,1.342,10.8559670781893
test_set.py,TestGraphs.test_cube,0.116,0.118,0.12,0.861,0.876,0.884,7.423728813559323
test_float.py,GeneralFloatCases.test_float_pow,0.115,0.1185,0.12,0.869,0.8765000000000001,0.891,7.396624472573841
test_userlist.py,UserListTest.test_getslice,0.115,0.11775,0.119,0.785,0.8115,0.823,6.891719745222931
test_set.py,TestSetSubclass.test_difference_update,0.116,0.11825,0.122,0.806,0.81,0.817,6.849894291754758
test_complex.py,ComplexTest.test_pow_with_small_integer_exponents,0.115,0.11725,0.12,0.755,0.76825,0.793,6.552238805970149
test_int.py,IntTestCases.test_basic,0.116,0.11825,0.119,0.692,0.7042499999999999,0.712,5.955602536997886
test_set.py,TestSetSubclass.test_update,0.122,0.12225,0.123,0.686,0.7225,0.788,5.910020449897751
test_set.py,TestSet.test_difference_update,0.119,0.12075,0.122,0.707,0.71175,0.72,5.894409937888199
test_set.py,TestSet.test_update,0.117,0.1185,0.122,0.676,0.691,0.704,5.831223628691983
test_list.py,ListTest.test_setslice,0.118,0.1195,0.121,0.674,0.69,0.699,5.7740585774058575
test_userlist.py,UserListTest.test_addmul,0.114,0.1175,0.119,0.661,0.67425,0.686,5.738297872340426
test_complex.py,ComplexTest.test_pow,0.118,0.11875,0.12,0.643,0.6645000000000001,0.679,5.595789473684212
test_set.py,TestFrozenSetSubclass.test_difference,0.117,0.11875,0.121,0.644,0.664,0.679,5.591578947368421
test_set.py,TestFrozenSetSubclass.test_union,0.116,0.11925,0.121,0.646,0.65625,0.671,5.50314465408805
test_set.py,TestFrozenSet.test_difference,0.12,0.12125,0.122,0.634,0.664,0.693,5.4762886597938145
test_set.py,TestFrozenSet.test_union,0.121,0.122,0.124,0.647,0.659,0.681,5.401639344262295
test_set.py,TestSetSubclass.test_intersection_update,0.115,0.11775000000000001,0.122,0.605,0.616,0.632,5.231422505307855
test_complex.py,ComplexTest.test_abs,0.118,0.11875,0.119,0.595,0.6085,0.624,5.12421052631579
test_list.py,ListTest.test_tier2_invalidates_iterator,0.118,0.11975,0.122,0.598,0.608,0.613,5.077244258872652
test_set.py,TestFrozenSetSubclass.test_symmetric_difference,0.117,0.1185,0.121,0.562,0.57475,0.59,4.850210970464135
test_set.py,TestSet.test_intersection_update,0.12,0.1215,0.123,0.572,0.5852499999999999,0.605,4.816872427983538
test_float.py,HexFloatTestCase.test_whitespace,0.12,0.12075,0.121,0.573,0.5814999999999999,0.589,4.815734989648033
test_tuple.py,TupleTest.test_count,0.117,0.11925,0.12,0.563,0.5722499999999999,0.577,4.798742138364779
test_list.py,ListTest.test_count,0.118,0.12075,0.122,0.574,0.578,0.58,4.786749482401656
test_tuple.py,TupleTest.test_repr_large,0.162,0.1675,0.171,0.796,0.80125,0.807,4.7835820895522385
test_list.py,ListTest.test_repr_large,0.165,0.168,0.171,0.78,0.8007500000000001,0.813,4.7663690476190474
test_set.py,TestSetSubclass.test_difference,0.116,0.12,0.122,0.565,0.5682499999999999,0.573,4.735416666666667
test_float.py,HexFloatTestCase.test_from_hex,0.115,0.118,0.121,0.543,0.55725,0.564,4.7224576271186445
test_set.py,TestFrozenSet.test_symmetric_difference,0.12,0.1205,0.121,0.554,0.56775,0.58,4.711618257261411
test_dict.py,DictTest.test_reentrant_insertion,0.118,0.11925,0.121,0.55,0.55625,0.559,4.664570230607967
test_tuple.py,TupleTest.test_addmul,0.118,0.11825,0.119,0.546,0.55125,0.557,4.661733615221988
test_list.py,ListTest.test_addmul,0.12,0.12075,0.122,0.554,0.56275,0.57,4.660455486542443
test_set.py,TestSetSubclass.test_union,0.119,0.12075,0.122,0.551,0.56225,0.572,4.656314699792961
test_generators.py,ExceptionTest.test_nested_gen_except_loop,0.119,0.11975,0.12,0.555,0.55625,0.558,4.645093945720251
test_range.py,RangeTest.test_slice,0.118,0.119,0.12,0.541,0.5505,0.56,4.626050420168068
test_contextlib.py,TestAbstractContextManager.test_structural_subclassing,0.117,0.12,0.122,0.534,0.5507500000000001,0.562,4.5895833333333345
test_set.py,TestSet.test_difference,0.115,0.119,0.123,0.531,0.537,0.543,4.512605042016808
test_set.py,TestSetSubclass.test_symmetric_difference,0.12,0.1215,0.123,0.532,0.54225,0.549,4.462962962962963
