,test_file,test,base_time_min,base_time_mean,base_time_max,dynamo_time_min,dynamo_time_mean,dynamo_time_max,ratio
183,test_itertools.py,TestBasicOps.test_ziplongest,0.122,0.12375,0.125,43.57,44.31875,45.276,358.1313131313132
981,test_set.py,TestSetSubclass.test_isdisjoint,0.119,0.12125,0.124,5.852,6.0875,6.256,50.20618556701032
761,test_set.py,TestFrozenSetSubclass.test_isdisjoint,0.118,0.1205,0.123,5.75,5.842,6.032,48.481327800829874
943,test_set.py,TestSet.test_isdisjoint,0.122,0.1225,0.123,5.466,5.65,5.8,46.12244897959184
742,test_set.py,TestFrozenSet.test_isdisjoint,0.12,0.12225,0.123,5.545,5.563,5.59,45.50511247443762
935,test_set.py,TestSet.test_difference_update,0.117,0.12125,0.124,2.173,2.24625,2.31,18.525773195876287
180,test_itertools.py,TestBasicOps.test_permutations,0.117,0.12,0.122,2.024,2.04575,2.066,17.047916666666666
181,test_itertools.py,TestBasicOps.test_product,0.133,0.1355,0.138,1.915,1.92425,1.931,14.20110701107011
941,test_set.py,TestSet.test_intersection_update,0.119,0.121,0.123,1.681,1.7015,1.748,14.06198347107438
973,test_set.py,TestSetSubclass.test_difference_update,0.122,0.1235,0.125,1.534,1.55475,1.58,12.589068825910932
979,test_set.py,TestSetSubclass.test_intersection_update,0.119,0.12,0.121,1.447,1.4575,1.48,12.145833333333334
963,test_set.py,TestSet.test_update,0.121,0.1225,0.123,1.395,1.4165,1.445,11.56326530612245
359,test_userlist.py,UserListTest.test_getslice,0.116,0.1195,0.122,1.229,1.2575,1.287,10.523012552301257
413,test_int.py,IntTestCases.test_basic,0.118,0.12075,0.122,1.226,1.23875,1.258,10.25879917184265
1000,test_set.py,TestSetSubclass.test_union,0.121,0.12225,0.123,1.232,1.25,1.275,10.224948875255624
1002,test_set.py,TestSetSubclass.test_update,0.121,0.1225,0.123,1.188,1.235,1.266,10.081632653061224
41,test_float.py,GeneralFloatCases.test_float_pow,0.12,0.121,0.122,1.187,1.2105,1.221,10.00413223140496
961,test_set.py,TestSet.test_union,0.12,0.12125,0.123,1.174,1.21125,1.238,9.989690721649485
1204,test_list.py,ListTest.test_setslice,0.118,0.1185,0.119,1.147,1.1555,1.164,9.751054852320676
934,test_set.py,TestSet.test_difference,0.118,0.1205,0.124,1.163,1.172,1.192,9.726141078838172
972,test_set.py,TestSetSubclass.test_difference,0.118,0.12175,0.128,1.147,1.179,1.212,9.683778234086242
375,test_iter.py,TestCase.test_iter_big_range,0.121,0.122,0.123,1.157,1.16375,1.173,9.53893442622951
51,test_float.py,HexFloatTestCase.test_whitespace,0.119,0.1205,0.122,1.122,1.14075,1.173,9.466804979253112
750,test_set.py,TestFrozenSet.test_union,0.117,0.11775,0.118,1.06,1.08725,1.119,9.233545647558389
771,test_set.py,TestFrozenSetSubclass.test_union,0.12,0.1205,0.121,1.046,1.07625,1.098,8.931535269709544
757,test_set.py,TestFrozenSetSubclass.test_difference,0.117,0.12075,0.124,1.04,1.05175,1.062,8.710144927536232
774,test_set.py,TestGraphs.test_cube,0.122,0.12325,0.125,1.061,1.07275,1.086,8.703853955375255
998,test_set.py,TestSetSubclass.test_symmetric_difference,0.121,0.12125,0.122,1.032,1.05175,1.07,8.67422680412371
1209,test_list.py,ListTest.test_tier2_invalidates_iterator,0.12,0.1215,0.123,1.031,1.0475,1.06,8.621399176954732
48,test_float.py,HexFloatTestCase.test_from_hex,0.12,0.1215,0.122,1.03,1.0395,1.047,8.555555555555555
738,test_set.py,TestFrozenSet.test_difference,0.118,0.1205,0.123,1.017,1.02325,1.036,8.491701244813278
959,test_set.py,TestSet.test_symmetric_difference,0.121,0.12175,0.123,0.994,1.024,1.035,8.410677618069816
